type,nodes,features,id,searchedFeature,isSuccess,firstBandwidth,totalBandwidth,latency,pathLength
S,50000,20000,7857,8642,F,2200,2200,0,0
S,50000,20000,29213,1703,F,3003,3003,0,0
S,50000,20000,26457,5871,F,3339,3339,0,0
S,50000,20000,44807,6341,T,2370,3237,170,4
S,50000,20000,34546,13801,F,2992,2992,0,0
S,50000,20000,36346,15832,F,2872,2872,0,0
S,50000,20000,42800,11739,T,321,3785,112,3
S,50000,20000,8572,8414,F,3088,3088,0,0
S,50000,20000,27615,7922,F,2841,2841,0,0
S,50000,20000,16004,6767,F,3720,3720,0,0
S,50000,20000,1457,16372,F,3772,3772,0,0
S,50000,20000,33937,981,F,3144,3144,0,0
S,50000,20000,15285,15722,F,3971,3971,0,0
S,50000,20000,15220,16900,F,3285,3285,0,0
S,50000,20000,16089,2646,F,3708,3708,0,0
S,50000,20000,9455,14439,F,3461,3461,0,0
S,50000,20000,14044,3233,F,2653,2653,0,0
S,50000,20000,8174,2847,F,3213,3213,0,0
S,50000,20000,27638,16157,F,3278,3278,0,0
S,50000,20000,1948,2862,F,3073,3073,0,0
S,50000,20000,48455,19089,F,3073,3073,0,0
S,50000,20000,31489,2793,F,3000,3000,0,0
S,50000,20000,27933,17008,F,3421,3421,0,0
S,50000,20000,25287,825,F,3293,3293,0,0
S,50000,20000,40803,12698,F,3363,3363,0,0
S,50000,20000,35951,10926,F,3581,3581,0,0
S,50000,20000,16444,18127,F,3755,3755,0,0
S,50000,20000,44226,65,T,3217,3604,128,5
S,50000,20000,29766,4284,T,221,3079,128,3
S,50000,20000,3706,2560,F,3292,3292,0,0
S,50000,20000,17924,12483,F,3140,3140,0,0
S,50000,20000,24251,8967,F,3566,3566,0,0
S,50000,20000,39371,2384,F,3707,3707,0,0
S,50000,20000,22820,12656,T,232,3613,79,3
S,50000,20000,1926,19379,F,3348,3348,0,0
S,50000,20000,445,15200,T,2180,3872,154,4
S,50000,20000,9934,13615,F,3468,3468,0,0
S,50000,20000,8586,5672,T,2162,2192,143,4
S,50000,20000,40621,11877,T,2969,3722,98,4
S,50000,20000,16484,5731,F,3970,3970,0,0
S,50000,20000,34659,14309,F,3491,3491,0,0
S,50000,20000,41815,5048,F,3366,3366,0,0
S,50000,20000,15877,2491,F,3538,3538,0,0
S,50000,20000,41346,6046,F,3960,3960,0,0
S,50000,20000,1914,9368,F,3823,3823,0,0
S,50000,20000,26426,11463,F,3840,3840,0,0
S,50000,20000,46216,7025,F,3073,3073,0,0
S,50000,20000,11846,3458,F,3495,3495,0,0
S,50000,20000,46903,16471,F,3956,3956,0,0
S,50000,20000,33666,4906,T,96,1218,99,3
S,50000,20000,31601,16913,T,460,3363,40,3
S,50000,20000,46429,2729,F,3151,3151,0,0
S,50000,20000,33706,2940,T,776,3296,102,4
S,50000,20000,14554,7615,F,3327,3327,0,0
S,50000,20000,48360,14732,T,1465,3059,116,4
S,50000,20000,48708,12074,F,3294,3294,0,0
S,50000,20000,43280,14989,T,519,3701,86,3
S,50000,20000,47391,4173,F,3295,3295,0,0
S,50000,20000,49969,8041,F,3421,3421,0,0
S,50000,20000,45707,6510,T,1146,2501,151,5
S,50000,20000,16278,2115,F,3119,3119,0,0
S,50000,20000,40712,11771,F,3433,3433,0,0
S,50000,20000,15060,1514,F,3723,3723,0,0
S,50000,20000,32769,16428,F,3693,3693,0,0
S,50000,20000,19072,2553,T,2316,2358,157,4
S,50000,20000,47832,15457,T,2493,3662,119,4
S,50000,20000,14739,15081,F,3558,3558,0,0
S,50000,20000,23023,5566,T,3548,3935,208,6
S,50000,20000,31345,15501,F,3726,3726,0,0
S,50000,20000,3322,16881,F,3618,3618,0,0
S,50000,20000,46576,339,F,3587,3587,0,0
S,50000,20000,21637,9467,F,3656,3656,0,0
S,50000,20000,25166,8447,F,3198,3198,0,0
S,50000,20000,30871,1419,T,3822,3866,96,4
S,50000,20000,33217,8692,F,3077,3077,0,0
S,50000,20000,26715,374,F,3335,3335,0,0
S,50000,20000,25965,4896,T,2426,3906,249,6
