type,nodes,features,id,searchedFeature,isSuccess,firstBandwidth,totalBandwidth,latency,pathLength
S,50000,5000,19272,4960,F,769,769,0,0
S,50000,5000,32670,2406,F,1224,1224,0,0
S,50000,5000,14861,916,T,490,1281,108,3
S,50000,5000,33826,2610,T,1045,1263,92,3
S,50000,5000,36113,2256,F,819,819,0,0
S,50000,5000,7389,48,T,746,1497,84,4
S,50000,5000,14001,3270,T,964,1809,100,3
S,50000,5000,10101,3120,T,484,983,101,3
S,50000,5000,37497,751,T,148,1262,50,2
S,50000,5000,30200,2395,F,757,757,0,0
S,50000,5000,20768,858,T,200,1226,86,3
S,50000,5000,29873,850,F,897,897,0,0
S,50000,5000,44251,3034,F,1080,1080,0,0
S,50000,5000,9944,16,T,191,994,130,4
S,50000,5000,30395,4094,F,1266,1266,0,0
S,50000,5000,24833,1111,F,2344,2344,0,0
S,50000,5000,19863,457,T,921,1177,110,3
S,50000,5000,30218,1545,F,2137,2137,0,0
S,50000,5000,39310,2165,F,1707,1707,0,0
S,50000,5000,5998,3292,F,2459,2459,0,0
S,50000,5000,47801,108,F,2806,2806,0,0
S,50000,5000,44596,4288,F,2920,2920,0,0
S,50000,5000,38064,1613,F,3021,3021,0,0
S,50000,5000,28661,3282,T,770,1319,67,3
S,50000,5000,29173,3240,F,2971,2971,0,0
S,50000,5000,44831,296,T,1475,3108,81,4
S,50000,5000,34751,503,T,1513,2675,111,3
S,50000,5000,40811,4179,T,1869,2417,95,4
S,50000,5000,4410,1612,F,2543,2543,0,0
S,50000,5000,25029,285,T,3116,3259,206,6
S,50000,5000,2877,1048,T,2314,3578,141,4
S,50000,5000,9285,407,T,3056,3232,114,4
S,50000,5000,40067,1558,T,563,3837,94,3
S,50000,5000,22952,2615,T,982,1463,110,3
S,50000,5000,47619,3558,T,793,1787,124,3
S,50000,5000,12889,4960,F,3603,3603,0,0
S,50000,5000,29941,4199,T,780,3279,118,4
S,50000,5000,15820,1698,T,224,3289,106,3
S,50000,5000,12967,1386,T,1651,1706,110,3
S,50000,5000,43854,1655,F,3683,3683,0,0
S,50000,5000,18396,3519,T,1200,3052,93,4
S,50000,5000,37862,802,T,2230,3370,156,4
S,50000,5000,5961,2248,T,876,1881,129,4
S,50000,5000,47684,1281,T,1876,3184,129,4
S,50000,5000,3978,2818,T,2236,3617,98,5
