type,nodes,features,id,searchedFeature,isSuccess,firstBandwidth,totalBandwidth,latency,pathLength
S,50000,10000,28034,7585,F,1960,1960,0,0
S,50000,10000,40409,3477,F,2755,2755,0,0
S,50000,10000,7280,8771,F,2969,2969,0,0
S,50000,10000,47715,7878,T,81,81,57,2
S,50000,10000,39381,8444,T,1172,1172,108,3
S,50000,10000,44078,9166,T,148,148,98,3
S,50000,10000,18263,1671,F,3021,3021,0,0
S,50000,10000,13190,6115,F,3147,3147,0,0
S,50000,10000,15084,5110,F,3616,3616,0,0
S,50000,10000,31126,1504,F,2956,2956,0,0
S,50000,10000,26143,6515,T,1032,1032,134,3
S,50000,10000,23203,1938,F,3064,3064,0,0
S,50000,10000,37445,8788,F,3777,3777,0,0
S,50000,10000,48512,3525,F,2957,2957,0,0
S,50000,10000,8952,3868,F,2151,2151,0,0
S,50000,10000,2617,9453,F,2144,2144,0,0
S,50000,10000,33552,5395,T,617,617,61,3
S,50000,10000,933,6426,F,2029,2029,0,0
S,50000,10000,44578,7468,T,1887,1887,144,4
S,50000,10000,12490,6894,F,1876,1876,0,0
S,50000,10000,10784,4572,F,1269,1269,0,0
S,50000,10000,28587,5508,T,703,703,95,3
S,50000,10000,37123,3062,F,1195,1195,0,0
S,50000,10000,25441,6952,T,1481,1481,96,4
S,50000,10000,34742,3859,T,1924,1924,205,6
S,50000,10000,8362,5752,T,1634,1634,90,4
S,50000,10000,2861,9408,T,1630,1630,94,3
S,50000,10000,25803,3550,F,2731,2731,0,0
S,50000,10000,9663,3927,F,3027,3027,0,0
S,50000,10000,11300,4276,F,3731,3731,0,0
S,50000,10000,38920,9326,T,3013,3013,171,7
S,50000,10000,27369,1409,T,920,920,105,3
S,50000,10000,28963,5580,F,3436,3436,0,0
S,50000,10000,6307,4769,F,3763,3763,0,0
S,50000,10000,6914,5819,F,3271,3271,0,0
S,50000,10000,12379,3635,F,3694,3694,0,0
S,50000,10000,2799,2044,F,3325,3325,0,0
S,50000,10000,42780,3682,T,1367,1367,112,3
S,50000,10000,38944,3668,F,2673,2673,0,0
S,50000,10000,36151,2472,T,579,579,113,3
S,50000,10000,37430,3697,F,1971,1971,0,0
S,50000,10000,3452,6099,F,2215,2215,0,0
S,50000,10000,8223,6492,F,3210,3210,0,0
S,50000,10000,12447,2084,T,1343,1343,150,6
S,50000,10000,12064,6987,F,2763,2763,0,0
S,50000,10000,22594,3873,T,1949,1949,149,5
S,50000,10000,41305,9368,F,3380,3380,0,0
S,50000,10000,37563,6439,T,1172,1172,142,5
S,50000,10000,19786,9432,T,242,242,106,3
S,50000,10000,23610,6890,T,1403,1403,133,5
