type,nodes,features,id,searchedFeature,isSuccess,firstBandwidth,totalBandwidth,latency,pathLength
S,50000,20000,26916,19508,F,1010,1010,0,0
S,50000,20000,20064,3002,F,1313,1313,0,0
S,50000,20000,49979,1425,F,1449,1449,0,0
S,50000,20000,13536,4534,T,1454,1454,142,4
S,50000,20000,31784,3924,F,2270,2270,0,0
S,50000,20000,37957,5626,F,2370,2370,0,0
S,50000,20000,49107,7039,F,2137,2137,0,0
S,50000,20000,27196,1502,T,1206,1206,117,4
S,50000,20000,47279,10810,F,1509,1509,0,0
S,50000,20000,19068,1424,F,2748,2748,0,0
S,50000,20000,33271,13053,F,2758,2758,0,0
S,50000,20000,23032,13978,F,2660,2660,0,0
S,50000,20000,41925,8045,F,3111,3111,0,0
S,50000,20000,6862,9456,F,3599,3599,0,0
S,50000,20000,19310,16296,F,3170,3170,0,0
S,50000,20000,24331,1128,F,3467,3467,0,0
S,50000,20000,5680,11139,F,3712,3712,0,0
S,50000,20000,5892,6070,F,3628,3628,0,0
S,50000,20000,29530,11324,F,3427,3427,0,0
S,50000,20000,41272,373,F,3372,3372,0,0
S,50000,20000,21991,11768,F,3192,3192,0,0
S,50000,20000,18644,1403,F,2824,2824,0,0
S,50000,20000,48240,12949,T,842,842,170,5
S,50000,20000,11987,1438,T,2328,2328,130,5
S,50000,20000,25169,4792,F,2964,2964,0,0
S,50000,20000,23808,6073,F,2700,2700,0,0
S,50000,20000,25364,5125,F,3211,3211,0,0
S,50000,20000,5938,18386,F,2857,2857,0,0
S,50000,20000,9913,13084,F,3073,3073,0,0
S,50000,20000,29025,3765,F,2782,2782,0,0
S,50000,20000,30030,12226,T,2315,2315,166,5
S,50000,20000,21688,18532,F,3396,3396,0,0
S,50000,20000,38112,3040,F,3321,3321,0,0
S,50000,20000,33437,16288,F,3587,3587,0,0
S,50000,20000,47090,9911,T,2422,2422,106,4
S,50000,20000,46784,14835,F,3365,3365,0,0
S,50000,20000,43549,13948,F,3256,3256,0,0
S,50000,20000,16074,14269,F,3073,3073,0,0
S,50000,20000,31638,7144,T,2270,2270,133,4
S,50000,20000,12755,15468,F,3379,3379,0,0
S,50000,20000,5564,4813,F,3533,3533,0,0
S,50000,20000,11150,15781,T,274,274,96,3
S,50000,20000,16039,9705,T,2719,2719,209,6
S,50000,20000,23114,17382,T,1458,1458,175,5
S,50000,20000,15440,2949,F,3546,3546,0,0
S,50000,20000,23863,12192,T,192,192,112,3
S,50000,20000,6304,18241,F,3352,3352,0,0
S,50000,20000,4914,19207,F,3383,3383,0,0
S,50000,20000,17047,12085,T,455,455,97,3
S,50000,20000,22582,8677,T,304,304,114,3
S,50000,20000,9584,2581,F,3301,3301,0,0
S,50000,20000,38708,15031,F,3772,3772,0,0
S,50000,20000,27888,14258,T,3005,3005,118,4
S,50000,20000,36886,7102,F,3275,3275,0,0
S,50000,20000,8718,5263,F,3906,3906,0,0
S,50000,20000,7090,15406,F,3680,3680,0,0
S,50000,20000,21310,10725,F,3625,3625,0,0
S,50000,20000,12051,12200,F,3522,3522,0,0
S,50000,20000,18947,7012,T,3148,3148,158,5
S,50000,20000,25961,18638,T,2716,2716,149,4
S,50000,20000,42013,1053,F,3767,3767,0,0
S,50000,20000,33251,15773,F,3810,3810,0,0
S,50000,20000,28840,6035,F,3162,3162,0,0
S,50000,20000,18934,9083,F,3650,3650,0,0
S,50000,20000,11786,5900,F,3757,3757,0,0
S,50000,20000,34864,3644,F,3598,3598,0,0
S,50000,20000,21503,2917,T,283,283,91,4
S,50000,20000,9653,398,F,3438,3438,0,0
S,50000,20000,17670,4609,F,3380,3380,0,0
S,50000,20000,25519,856,T,2018,2018,169,5
S,50000,20000,34664,18721,F,2817,2817,0,0
S,50000,20000,22746,17305,F,3809,3809,0,0
S,50000,20000,34949,6442,T,662,662,152,4
S,50000,20000,46352,12565,F,3545,3545,0,0
S,50000,20000,27756,9242,T,3440,3440,172,6
S,50000,20000,25070,59,F,3797,3797,0,0
S,50000,20000,43891,2311,F,3599,3599,0,0
S,50000,20000,31461,18088,F,3835,3835,0,0
S,50000,20000,29025,15845,F,3209,3209,0,0
S,50000,20000,22868,8496,F,3123,3123,0,0
S,50000,20000,32139,12236,F,3075,3075,0,0
S,50000,20000,45014,17168,F,3961,3961,0,0
S,50000,20000,26179,6510,F,3861,3861,0,0
S,50000,20000,3680,17583,F,3756,3756,0,0
S,50000,20000,30662,9120,F,4001,4001,0,0
S,50000,20000,34001,7120,T,1733,1733,157,6
S,50000,20000,707,10194,F,3693,3693,0,0
S,50000,20000,47694,5605,F,3777,3777,0,0
S,50000,20000,40507,9637,F,3608,3608,0,0
S,50000,20000,4577,12313,T,3261,3261,120,4
S,50000,20000,24486,10916,T,3763,3763,137,4
S,50000,20000,19825,17471,F,3947,3947,0,0
S,50000,20000,3322,5343,F,3715,3715,0,0
S,50000,20000,12232,18707,F,3769,3769,0,0
S,50000,20000,26334,15326,T,858,858,108,3
S,50000,20000,1226,55,F,3861,3861,0,0
S,50000,20000,18701,19442,F,3699,3699,0,0
S,50000,20000,39427,680,F,3939,3939,0,0
S,50000,20000,43836,18558,F,3696,3696,0,0
S,50000,20000,11814,9387,T,463,463,105,3
S,50000,20000,7893,17520,F,3136,3136,0,0
S,50000,20000,9478,11165,F,3083,3083,0,0
S,50000,20000,41059,1880,F,3932,3932,0,0
S,50000,20000,41829,17307,T,2713,2713,185,5
S,50000,20000,26767,18899,T,1160,1160,73,3
S,50000,20000,5254,16219,F,3025,3025,0,0
S,50000,20000,21884,11620,F,3765,3765,0,0
S,50000,20000,18076,4318,F,3989,3989,0,0
S,50000,20000,27825,9371,F,3415,3415,0,0
S,50000,20000,31928,1278,T,354,354,134,4
S,50000,20000,43423,11206,T,460,460,94,3
S,50000,20000,17078,6167,T,2712,2712,118,4
S,50000,20000,16514,15912,F,3360,3360,0,0
S,50000,20000,39951,11686,F,3028,3028,0,0
S,50000,20000,41557,4052,F,2617,2617,0,0
S,50000,20000,24874,8404,T,1549,1549,81,4
S,50000,20000,7542,11054,F,3458,3458,0,0
S,50000,20000,20475,17420,F,3309,3309,0,0
S,50000,20000,850,8135,F,3510,3510,0,0
S,50000,20000,38345,2499,T,3075,3075,145,4
S,50000,20000,2198,15023,F,3395,3395,0,0
S,50000,20000,20615,15976,F,3484,3484,0,0
S,50000,20000,23675,11099,F,3522,3522,0,0
S,50000,20000,41242,6588,T,2848,2848,126,5
S,50000,20000,12475,10944,F,3333,3333,0,0
S,50000,20000,41535,13029,F,3178,3178,0,0
S,50000,20000,21440,4378,T,132,132,78,3
S,50000,20000,149,14237,F,3067,3067,0,0
