type,nodes,features,id,searchedFeature,isSuccess,firstBandwidth,totalBandwidth,latency,pathLength
S,20000,10000,18103,2402,T,1151,1151,100,4
S,20000,10000,12060,9872,T,3102,3102,255,7
S,20000,10000,7633,2135,F,4185,4185,0,0
S,20000,10000,12316,710,T,229,229,121,4
S,20000,10000,16662,6208,F,4315,4315,0,0
S,20000,10000,17879,7774,T,2112,2112,185,4
S,20000,10000,6863,8838,T,124,124,56,2
S,20000,10000,1805,3599,F,4009,4009,0,0
S,20000,10000,8386,9225,F,2811,2811,0,0
S,20000,10000,17983,9242,F,2784,2784,0,0
S,20000,10000,7770,1926,F,2758,2758,0,0
S,20000,10000,2104,5183,F,4268,4268,0,0
S,20000,10000,14951,4094,F,3833,3833,0,0
S,20000,10000,14652,8866,T,1475,1475,148,5
S,20000,10000,8705,837,F,4035,4035,0,0
S,20000,10000,624,2903,T,1371,1371,142,4
S,20000,10000,15871,5484,F,3698,3698,0,0
S,20000,10000,13411,7623,T,691,691,120,4
S,20000,10000,9501,1862,F,4607,4607,0,0
S,20000,10000,19819,3823,T,3751,3751,137,5
S,20000,10000,3985,5297,F,3925,3925,0,0
S,20000,10000,15311,6209,F,3213,3213,0,0
S,20000,10000,178,2084,T,1371,1371,103,4
S,20000,10000,8163,8461,T,1651,1651,244,8
S,20000,10000,17322,7198,T,964,964,108,4
S,20000,10000,8233,9850,T,735,735,104,3
S,20000,10000,16776,4247,T,3403,3403,201,6
S,20000,10000,10853,3098,T,50,50,55,2
S,20000,10000,10940,7203,T,1495,1495,117,4
S,20000,10000,174,4103,T,3241,3241,215,7
S,20000,10000,11711,2043,F,3868,3868,0,0
S,20000,10000,3664,7695,T,11,11,23,1
S,20000,10000,14352,369,T,1497,1497,174,8
S,20000,10000,9468,8907,T,811,811,157,5
S,20000,10000,7645,7918,T,708,708,99,3
S,20000,10000,17612,6795,F,3944,3944,0,0
S,20000,10000,8490,2725,T,4511,4511,179,7
S,20000,10000,11888,5293,T,3314,3314,270,10
S,20000,10000,10361,5749,T,1880,1880,162,5
S,20000,10000,15645,1836,F,3073,3073,0,0
S,20000,10000,10492,656,T,3860,3860,212,7
S,20000,10000,13544,953,F,4510,4510,0,0
S,20000,10000,7943,8337,F,4246,4246,0,0
S,20000,10000,108,3626,F,4454,4454,0,0
S,20000,10000,16112,9278,T,1399,1399,109,4
S,20000,10000,16224,262,T,973,973,78,3
S,20000,10000,8857,7237,T,4256,4256,148,5
S,20000,10000,14608,8475,T,3749,3749,140,4
S,20000,10000,11708,2666,F,4342,4342,0,0
S,20000,10000,15459,2707,F,2641,2641,0,0
S,20000,10000,8283,6593,F,2648,2648,0,0
S,20000,10000,9897,1376,T,2288,2288,101,4
S,20000,10000,17139,4239,T,708,708,104,3
S,20000,10000,12029,3826,T,2131,2131,107,4
S,20000,10000,12281,2157,T,2479,2479,116,4
S,20000,10000,11648,7818,F,4408,4408,0,0
S,20000,10000,14037,45,F,3897,3897,0,0
S,20000,10000,9698,2184,F,4447,4447,0,0
S,20000,10000,10077,721,T,681,681,128,4
S,20000,10000,5106,3080,T,3639,3639,179,6
S,20000,10000,6326,7105,F,4242,4242,0,0
S,20000,10000,1229,3365,T,2248,2248,111,4
S,20000,10000,5550,3662,T,1834,1834,192,5
S,20000,10000,13142,7402,T,183,183,108,4
S,20000,10000,6269,6714,T,2173,2173,225,7
S,20000,10000,10606,7097,T,590,590,142,4
S,20000,10000,14228,5963,T,77,77,48,2
S,20000,10000,2335,8426,T,2223,2223,168,6
S,20000,10000,1266,4961,F,4429,4429,0,0
S,20000,10000,19831,5400,T,247,247,78,3
S,20000,10000,1549,62,T,3711,3711,138,6
S,20000,10000,5274,5136,F,3781,3781,0,0
S,20000,10000,12378,1932,T,3,3,38,1
S,20000,10000,16099,8096,T,4454,4454,217,7
S,20000,10000,14118,1493,T,2832,2832,140,4
S,20000,10000,7569,7987,F,4152,4152,0,0
S,20000,10000,19598,6795,T,4186,4186,190,6
S,20000,10000,13862,7536,T,1469,1469,113,4
S,20000,10000,8896,4080,T,1378,1378,122,4
S,20000,10000,6883,4803,F,3956,3956,0,0
S,20000,10000,6931,1345,F,4561,4561,0,0
S,20000,10000,12768,4917,F,4127,4127,0,0
S,20000,10000,1900,8147,T,3525,3525,200,7
S,20000,10000,2370,6044,F,3980,3980,0,0
S,20000,10000,19705,7583,F,4256,4256,0,0
S,20000,10000,15615,7492,T,1007,1007,167,5
S,20000,10000,1646,7605,T,394,394,114,3
S,20000,10000,15181,7892,F,4259,4259,0,0
S,20000,10000,736,140,F,3938,3938,0,0
S,20000,10000,4857,3886,F,4373,4373,0,0
S,20000,10000,17729,1844,T,585,585,89,4
S,20000,10000,17959,7530,F,4237,4237,0,0
S,20000,10000,9900,829,T,2596,2596,148,6
S,20000,10000,16965,906,F,4263,4263,0,0
S,20000,10000,5350,5831,T,1268,1268,90,4
S,20000,10000,13650,307,T,1322,1322,107,4
S,20000,10000,18873,965,F,3586,3586,0,0
S,20000,10000,14852,9872,T,1753,1753,131,4
S,20000,10000,13703,5956,T,3862,3862,131,5
S,20000,10000,10952,4569,T,2283,2283,130,6
S,20000,10000,11722,8635,T,690,690,116,4
S,20000,10000,5013,2226,F,4421,4421,0,0
S,20000,10000,3030,1545,T,4044,4044,218,8
S,20000,10000,2574,4754,T,1628,1628,224,7
S,20000,10000,11686,9396,T,374,374,98,3
S,20000,10000,13654,9264,F,4408,4408,0,0
S,20000,10000,17685,9540,T,270,270,64,3
S,20000,10000,11479,8344,F,4240,4240,0,0
S,20000,10000,7448,7238,T,3687,3687,100,4
S,20000,10000,1203,8054,F,4571,4571,0,0
S,20000,10000,5415,8700,T,1951,1951,119,4
S,20000,10000,7978,2885,T,968,968,129,4
S,20000,10000,4325,4778,F,4289,4289,0,0
S,20000,10000,19577,4958,T,2117,2117,174,5
S,20000,10000,6790,2033,F,3925,3925,0,0
S,20000,10000,6344,7478,T,1258,1258,117,4
S,20000,10000,12589,7183,F,4410,4410,0,0
S,20000,10000,15789,4312,F,4552,4552,0,0
S,20000,10000,11749,8957,T,1448,1448,97,5
S,20000,10000,9226,6736,T,2590,2590,261,8
S,20000,10000,14782,353,F,3651,3651,0,0
S,20000,10000,16121,5192,T,3252,3252,194,7
S,20000,10000,18192,7557,T,1991,1991,123,4
S,20000,10000,8483,7662,F,4094,4094,0,0
S,20000,10000,15618,5021,F,4485,4485,0,0
S,20000,10000,13809,1431,T,3707,3707,236,7
S,20000,10000,18099,1617,T,1027,1027,124,3
