type,nodes,features,id,searchedFeature,isSuccess,firstBandwidth,totalBandwidth,latency,pathLength
S,50000,15000,18279,11983,T,754,754,131,3
S,50000,15000,24964,3893,T,1905,1905,115,4
S,50000,15000,12333,7450,T,2402,2402,164,4
S,50000,15000,23409,2001,T,1071,1071,142,5
S,50000,15000,38187,12782,T,2644,2644,100,4
S,50000,15000,30021,13367,F,3344,3344,0,0
S,50000,15000,4907,8075,T,761,761,67,4
S,50000,15000,33887,4641,F,3073,3073,0,0
S,50000,15000,42347,10467,F,3304,3304,0,0
S,50000,15000,10822,9602,T,1062,1062,94,4
S,50000,15000,20332,3662,F,3311,3311,0,0
S,50000,15000,20864,6258,T,2072,2072,179,6
S,50000,15000,31365,5390,F,2280,2280,0,0
S,50000,15000,35860,1899,F,2092,2092,0,0
S,50000,15000,353,4136,T,442,442,74,3
S,50000,15000,30631,6724,F,1979,1979,0,0
S,50000,15000,9140,7865,F,1926,1926,0,0
S,50000,15000,23432,8620,T,1866,1866,89,4
S,50000,15000,31695,10537,F,3221,3221,0,0
S,50000,15000,34672,6589,T,1511,1511,76,4
S,50000,15000,25546,11787,F,3076,3076,0,0
S,50000,15000,30337,11048,T,1237,1237,149,4
S,50000,15000,22558,4593,F,3075,3075,0,0
S,50000,15000,29884,11389,T,1241,1241,88,4
S,50000,15000,5846,14239,T,1866,1866,110,4
S,50000,15000,7689,14782,F,3393,3393,0,0
S,50000,15000,44316,840,F,3165,3165,0,0
S,50000,15000,24026,8837,T,1429,1429,120,5
S,50000,15000,705,9362,F,3026,3026,0,0
S,50000,15000,36431,378,F,2141,2141,0,0
S,50000,15000,31369,448,F,2136,2136,0,0
S,50000,15000,35862,6803,F,2837,2837,0,0
S,50000,15000,28622,7083,T,69,69,88,3
S,50000,15000,37948,12121,F,2883,2883,0,0
S,50000,15000,23516,10812,F,3355,3355,0,0
S,50000,15000,42575,9807,F,3079,3079,0,0
S,50000,15000,36476,13937,F,3172,3172,0,0
S,50000,15000,11695,13417,F,2113,2113,0,0
S,50000,15000,13525,1897,F,2265,2265,0,0
S,50000,15000,25936,8449,F,1943,1943,0,0
S,50000,15000,10134,3381,F,1545,1545,0,0
S,50000,15000,22905,3080,F,1544,1544,0,0
S,50000,15000,44353,6895,F,2477,2477,0,0
S,50000,15000,10659,12440,F,2425,2425,0,0
S,50000,15000,10972,11492,F,2763,2763,0,0
S,50000,15000,10739,5073,F,3268,3268,0,0
S,50000,15000,39109,12440,F,3358,3358,0,0
S,50000,15000,17524,12735,F,3527,3527,0,0
S,50000,15000,1782,2949,F,3073,3073,0,0
S,50000,15000,34856,5245,T,1150,1150,130,3
S,50000,15000,15993,10644,F,3399,3399,0,0
S,50000,15000,13997,10817,T,1524,1524,106,3
S,50000,15000,9648,6649,F,3543,3543,0,0
S,50000,15000,49965,8130,F,3697,3697,0,0
S,50000,15000,4333,3583,F,3629,3629,0,0
S,50000,15000,24928,4713,F,3392,3392,0,0
S,50000,15000,30260,2284,F,2548,2548,0,0
S,50000,15000,9752,11985,F,2088,2088,0,0
S,50000,15000,37890,6845,F,2155,2155,0,0
S,50000,15000,35204,8180,F,3429,3429,0,0
S,50000,15000,49529,9540,F,3419,3419,0,0
S,50000,15000,15128,3853,F,3421,3421,0,0
S,50000,15000,24456,7382,F,3514,3514,0,0
S,50000,15000,41253,546,T,1687,1687,175,5
S,50000,15000,28704,1637,T,2441,2441,167,5
S,50000,15000,15313,5373,T,2387,2387,113,4
S,50000,15000,43753,6014,T,1490,1490,68,3
S,50000,15000,43139,2231,F,3328,3328,0,0
S,50000,15000,842,11926,T,161,161,56,3
S,50000,15000,17021,7704,F,3222,3222,0,0
S,50000,15000,19966,4007,T,948,948,161,5
S,50000,15000,8880,3969,F,3413,3413,0,0
S,50000,15000,932,8184,F,3167,3167,0,0
S,50000,15000,47904,5808,F,3592,3592,0,0
S,50000,15000,46013,11629,T,1222,1222,151,6
S,50000,15000,26484,1872,F,3294,3294,0,0
S,50000,15000,7386,7139,T,2860,2860,143,5
S,50000,15000,30961,6179,T,1404,1404,78,3
