type,nodes,features,id,searchedFeature,isSuccess,firstBandwidth,totalBandwidth,latency,pathLength
S,20000,4000,19841,62,T,792,792,106,3
S,20000,4000,17379,337,T,2393,2393,149,6
S,20000,4000,14551,1033,T,602,602,131,5
S,20000,4000,3661,2783,T,3657,3657,174,5
S,20000,4000,15106,2835,F,3948,3948,0,0
S,20000,4000,187,2794,T,3667,3667,224,7
S,20000,4000,9241,2330,T,828,828,50,3
S,20000,4000,17682,3653,T,1244,1244,175,5
S,20000,4000,2132,2605,T,1670,1670,150,6
S,20000,4000,759,3006,T,506,506,69,3
S,20000,4000,3702,255,T,387,387,105,3
S,20000,4000,6429,3145,T,1379,1379,130,4
S,20000,4000,813,182,T,836,836,115,4
S,20000,4000,454,3724,T,3257,3257,145,6
S,20000,4000,1616,3582,F,4012,4012,0,0
S,20000,4000,10036,3176,T,2191,2191,131,5
S,20000,4000,16748,1489,T,2730,2730,209,7
S,20000,4000,18496,687,T,1100,1100,191,7
S,20000,4000,15119,2368,T,136,136,48,2
S,20000,4000,16401,2238,T,2762,2762,293,8
S,20000,4000,4042,382,T,951,951,101,3
S,20000,4000,4228,140,T,3663,3663,63,4
S,20000,4000,16789,2016,T,2368,2368,139,4
S,20000,4000,15034,3382,T,2396,2396,135,4
S,20000,4000,16994,3079,T,3925,3925,93,4
S,20000,4000,7183,2444,T,1057,1057,136,4
S,20000,4000,15257,3091,F,3697,3697,0,0
S,20000,4000,3342,1729,F,4263,4263,0,0
S,20000,4000,19482,1672,T,1987,1987,124,4
S,20000,4000,335,1930,T,1078,1078,117,3
S,20000,4000,7980,268,T,1040,1040,86,3
S,20000,4000,4911,779,F,4074,4074,0,0
S,20000,4000,14273,2024,T,538,538,51,3
S,20000,4000,13833,3774,T,2,2,31,1
S,20000,4000,1957,1118,T,519,519,117,3
S,20000,4000,4806,2745,T,451,451,151,4
S,20000,4000,10237,3550,T,1022,1022,64,3
S,20000,4000,10270,3440,T,872,872,98,4
S,20000,4000,6703,3347,T,456,456,87,3
S,20000,4000,6720,3199,F,4743,4743,0,0
S,20000,4000,5566,1259,F,4317,4317,0,0
S,20000,4000,3447,594,T,1055,1055,136,4
S,20000,4000,5902,1153,T,944,944,125,4
S,20000,4000,17057,1365,T,2156,2156,138,4
S,20000,4000,16315,1704,T,1005,1005,91,4
S,20000,4000,4989,3100,T,1622,1622,90,3
S,20000,4000,3579,2760,T,1620,1620,98,4
S,20000,4000,13077,1851,T,703,703,174,5
S,20000,4000,16121,314,T,2738,2738,189,7
S,20000,4000,3060,933,T,654,654,125,3
S,20000,4000,19608,2273,T,1557,1557,129,4
S,20000,4000,5350,239,T,1709,1709,135,4
S,20000,4000,18378,1932,T,1619,1619,100,4
S,20000,4000,6836,3449,F,3578,3578,0,0
S,20000,4000,1976,388,F,3283,3283,0,0
S,20000,4000,6381,3738,T,1227,1227,187,5
S,20000,4000,11490,1102,T,634,634,66,3
S,20000,4000,15803,778,T,767,767,97,3
S,20000,4000,11490,1829,T,1015,1015,98,3
S,20000,4000,3189,1070,T,3678,3678,234,7
S,20000,4000,3573,2044,T,784,784,167,5
S,20000,4000,18901,202,F,4197,4197,0,0
S,20000,4000,10403,199,T,269,269,213,6
S,20000,4000,11705,1353,F,3706,3706,0,0
S,20000,4000,241,379,T,3459,3459,110,4
S,20000,4000,15870,499,F,3928,3928,0,0
S,20000,4000,15948,164,T,302,302,77,3
S,20000,4000,13633,601,T,1645,1645,85,4
S,20000,4000,1274,2717,T,1371,1371,194,6
S,20000,4000,7442,1512,T,3393,3393,179,6
S,20000,4000,5441,2096,T,856,856,60,3
S,20000,4000,1135,3293,T,1719,1719,119,4
S,20000,4000,11863,3517,T,1767,1767,178,4
S,20000,4000,10174,1470,T,1468,1468,92,4
S,20000,4000,17604,1043,T,33,33,84,3
S,20000,4000,19288,2457,F,3471,3471,0,0
S,20000,4000,17599,1113,T,544,544,91,3
S,20000,4000,13848,2032,T,1766,1766,153,6
S,20000,4000,10024,3754,T,1313,1313,118,4
S,20000,4000,2537,1045,T,722,722,75,3
S,20000,4000,17484,1317,T,1003,1003,111,3
S,20000,4000,13355,741,T,1263,1263,84,4
S,20000,4000,10569,2838,F,3950,3950,0,0
S,20000,4000,16582,2733,F,4078,4078,0,0
S,20000,4000,6042,1072,T,1463,1463,125,5
S,20000,4000,10608,2487,F,4153,4153,0,0
S,20000,4000,9687,3658,T,496,496,93,4
S,20000,4000,9459,3493,F,3477,3477,0,0
S,20000,4000,14807,1134,T,1042,1042,103,3
S,20000,4000,3824,1116,F,3755,3755,0,0
S,20000,4000,2495,1221,F,3825,3825,0,0
S,20000,4000,6217,2654,T,4271,4271,218,7
S,20000,4000,18457,1529,T,2981,2981,141,6
S,20000,4000,7562,3351,T,446,446,119,3
S,20000,4000,8115,1603,T,176,176,69,2
S,20000,4000,1364,2142,T,1507,1507,137,4
S,20000,4000,7449,3825,T,1739,1739,171,4
S,20000,4000,18491,2685,T,698,698,115,3
S,20000,4000,16066,2022,T,1479,1479,114,4
S,20000,4000,9977,120,F,2239,2239,0,0
S,20000,4000,2936,3584,F,2469,2469,0,0
S,20000,4000,12153,469,T,1324,1324,119,4
S,20000,4000,4823,2696,T,2354,2354,102,4
S,20000,4000,15017,2710,T,3075,3075,174,7
S,20000,4000,18422,298,T,1972,1972,103,4
S,20000,4000,6524,1858,T,557,557,62,3
S,20000,4000,1466,1423,T,33,33,43,2
S,20000,4000,9852,2014,T,187,187,108,4
S,20000,4000,17456,413,F,4078,4078,0,0
S,20000,4000,1740,2006,T,840,840,163,4
S,20000,4000,2649,3781,F,3627,3627,0,0
S,20000,4000,11252,793,T,268,268,105,3
S,20000,4000,9996,3877,T,457,457,80,3
S,20000,4000,3671,2289,F,4161,4161,0,0
S,20000,4000,16162,2209,T,2252,2252,122,5
S,20000,4000,12342,1750,T,438,438,80,3
S,20000,4000,12493,1914,T,3456,3456,179,6
S,20000,4000,1956,2648,T,1570,1570,157,4
S,20000,4000,18772,2011,T,956,956,97,4
S,20000,4000,14129,353,T,112,112,80,3
S,20000,4000,18664,1069,T,290,290,68,3
S,20000,4000,11250,2232,F,3727,3727,0,0
S,20000,4000,18227,2073,T,2217,2217,142,5
S,20000,4000,11171,2451,T,2575,2575,252,7
S,20000,4000,9483,2284,T,1002,1002,230,6
S,20000,4000,18082,2736,T,2971,2971,159,5
S,20000,4000,11751,2634,T,393,393,105,4
S,20000,4000,6562,1890,T,299,299,126,4
S,20000,4000,3182,91,T,741,741,157,5
S,20000,4000,795,2698,T,1376,1376,123,4
S,20000,4000,19986,1940,T,2457,2457,141,4
S,20000,4000,19747,125,T,999,999,166,5
S,20000,4000,3458,580,F,2679,2679,0,0
S,20000,4000,10303,1483,F,2711,2711,0,0
S,20000,4000,16445,927,T,214,214,48,3
S,20000,4000,12133,2673,T,486,486,143,5
S,20000,4000,17733,3529,T,2272,2272,145,5
S,20000,4000,10316,2740,T,983,983,113,3
S,20000,4000,10711,241,F,2240,2240,0,0
S,20000,4000,6938,2880,T,1842,1842,119,4
S,20000,4000,470,835,T,333,333,69,3
S,20000,4000,18072,905,T,123,123,34,2
S,20000,4000,19842,1977,T,704,704,89,3
S,20000,4000,8692,1124,T,600,600,108,4
S,20000,4000,11307,2708,T,1669,1669,201,6
S,20000,4000,997,1413,F,3758,3758,0,0
S,20000,4000,8656,673,T,2726,2726,178,5
S,20000,4000,8048,106,T,2618,2618,131,5
S,20000,4000,5478,3589,F,4033,4033,0,0
S,20000,4000,15870,1143,T,333,333,112,3
S,20000,4000,7303,2046,T,124,124,79,3
S,20000,4000,19199,1967,T,1333,1333,104,4
S,20000,4000,17593,2800,F,4245,4245,0,0
S,20000,4000,16079,3781,T,219,219,59,3
S,20000,4000,18043,422,T,3725,3725,118,5
S,20000,4000,19207,1199,T,2840,2840,179,6
S,20000,4000,9588,3740,F,4396,4396,0,0
S,20000,4000,12078,2606,F,3804,3804,0,0
S,20000,4000,12601,3058,T,1771,1771,178,4
S,20000,4000,902,609,T,2072,2072,236,7
S,20000,4000,13537,534,F,3835,3835,0,0
S,20000,4000,1009,2583,T,81,81,52,2
S,20000,4000,18669,3434,T,1958,1958,110,4
S,20000,4000,15348,3607,F,3896,3896,0,0
S,20000,4000,8065,2104,T,224,224,72,3
S,20000,4000,17418,2715,T,1031,1031,123,4
S,20000,4000,6331,1350,T,2181,2181,73,4
S,20000,4000,3014,916,F,3329,3329,0,0
S,20000,4000,13771,641,T,309,309,111,4
S,20000,4000,14523,3975,F,3890,3890,0,0
S,20000,4000,10817,2247,T,1186,1186,58,4
S,20000,4000,9638,3082,T,1126,1126,136,5
S,20000,4000,12254,3287,F,3608,3608,0,0
S,20000,4000,6535,1539,T,652,652,103,3
S,20000,4000,16326,3640,T,1021,1021,72,3
S,20000,4000,3527,2326,T,73,73,86,3
S,20000,4000,19146,467,T,1431,1431,132,4
S,20000,4000,16462,2884,T,1060,1060,116,4
S,20000,4000,1949,660,T,416,416,132,3
S,20000,4000,2263,1173,F,3527,3527,0,0
S,20000,4000,13779,1879,T,1579,1579,201,6
S,20000,4000,13090,471,T,906,906,121,4
S,20000,4000,9770,1497,F,3777,3777,0,0
S,20000,4000,5354,1403,T,284,284,120,4
S,20000,4000,8959,3215,T,558,558,78,3
S,20000,4000,12898,212,T,1158,1158,150,5
