type,nodes,features,id,searchedFeature,isSuccess,firstBandwidth,totalBandwidth,latency,pathLength
S,50000,10000,16233,7912,T,1165,1165,136,5
S,50000,10000,10728,8851,T,107,107,246,7
S,50000,10000,44907,5599,T,2326,2326,177,5
S,50000,10000,27806,7610,T,1685,1685,210,7
S,50000,10000,48126,3978,T,10333,10333,295,11
S,50000,10000,36847,2404,T,6521,6521,291,10
S,50000,10000,32227,7960,T,367,367,175,5
S,50000,10000,44767,5166,T,831,831,200,6
S,50000,10000,8927,4498,T,10370,10370,175,5
S,50000,10000,26380,7651,T,7045,7045,199,8
S,50000,10000,11587,6996,T,266,266,66,2
S,50000,10000,28579,5316,T,6593,6593,162,6
S,50000,10000,3751,3448,T,3093,3093,217,7
S,50000,10000,15094,5000,T,6562,6562,327,12
S,50000,10000,48656,856,F,12006,12006,0,0
S,50000,10000,13143,6739,T,381,381,89,4
S,50000,10000,48629,4060,T,175,175,220,6
S,50000,10000,4050,5461,F,11993,11993,0,0
S,50000,10000,14673,2208,F,12328,12328,0,0
S,50000,10000,6938,8833,T,235,235,121,4
S,50000,10000,28818,264,T,1902,1902,186,7
S,50000,10000,3360,3911,F,6776,6776,0,0
S,50000,10000,15399,8772,F,6896,6896,0,0
S,50000,10000,13347,1509,T,1815,1815,168,6
S,50000,10000,12895,7465,T,6597,6597,237,7
S,50000,10000,28389,9160,T,1089,1089,191,6
S,50000,10000,35663,2446,T,1963,1963,102,5
S,50000,10000,38732,3348,T,3874,3874,114,4
S,50000,10000,48591,8435,T,129,129,124,5
S,50000,10000,31775,177,T,5994,5994,145,5
S,50000,10000,25596,6663,T,3861,3861,250,9
S,50000,10000,34925,2254,T,311,311,187,7
S,50000,10000,10570,6270,T,3823,3823,93,3
S,50000,10000,40093,9196,F,13432,13432,0,0
S,50000,10000,47210,7477,T,205,205,193,5
S,50000,10000,48293,9593,T,5273,5273,85,4
S,50000,10000,9792,1937,T,10662,10662,282,9
S,50000,10000,17696,5873,F,12289,12289,0,0
S,50000,10000,10723,7932,T,861,861,149,6
S,50000,10000,6165,9424,T,470,470,277,9
S,50000,10000,46294,4521,T,8229,8229,258,8
S,50000,10000,44224,9554,T,5667,5667,307,9
S,50000,10000,14354,714,T,7,7,61,2
S,50000,10000,29689,4760,T,5665,5665,150,7
S,50000,10000,19698,3533,T,2708,2708,241,7
S,50000,10000,48121,2485,T,462,462,226,7
S,50000,10000,5630,9939,T,3650,3650,108,4
S,50000,10000,31708,998,T,1699,1699,109,5
S,50000,10000,31142,1720,F,12851,12851,0,0
S,50000,10000,24485,5149,T,11432,11432,234,7
S,50000,10000,2084,8989,T,323,323,181,5
S,50000,10000,32629,1654,F,9598,9598,0,0
S,50000,10000,48896,9570,T,1152,1152,244,7
S,50000,10000,33839,7185,T,406,406,121,4
S,50000,10000,18865,3713,T,2358,2358,129,4
S,50000,10000,8952,1571,T,4621,4621,206,6
S,50000,10000,28851,1437,T,699,699,121,5
S,50000,10000,3494,4028,T,328,328,158,6
S,50000,10000,9028,6309,T,4574,4574,197,5
S,50000,10000,30444,3162,T,102,102,172,5
S,50000,10000,46986,5789,T,9598,9598,214,8
S,50000,10000,3282,1156,T,3501,3501,112,4
S,50000,10000,14879,4097,T,8019,8019,92,4
