type,nodes,features,id,searchedFeature,isSuccess,firstBandwidth,totalBandwidth,latency,pathLength
S,20000,2000,11240,313,T,264,264,132,6
S,20000,2000,4653,994,T,343,343,153,6
S,20000,2000,5872,913,T,574,574,134,4
S,20000,2000,17362,1882,T,1146,1146,158,6
S,20000,2000,6946,871,T,243,243,107,4
S,20000,2000,13449,1622,T,338,338,89,5
S,20000,2000,2552,798,T,845,845,142,4
S,20000,2000,8840,1007,T,814,814,199,6
S,20000,2000,6912,1539,T,245,245,194,6
S,20000,2000,14279,1694,T,852,852,116,4
S,20000,2000,6631,761,T,1605,1605,93,4
S,20000,2000,11693,1497,T,913,913,201,6
S,20000,2000,8379,779,T,136,136,102,4
S,20000,2000,12056,78,T,1206,1206,264,6
S,20000,2000,3640,269,T,300,300,102,5
S,20000,2000,14663,176,T,501,501,128,6
S,20000,2000,1392,550,T,2969,2969,207,8
S,20000,2000,16822,1077,T,1180,1180,55,4
S,20000,2000,15559,1141,T,123,123,242,7
S,20000,2000,5720,1202,T,706,706,98,4
S,20000,2000,7146,1543,T,573,573,104,4
S,20000,2000,3031,1636,T,2992,2992,139,5
S,20000,2000,18509,1099,T,977,977,123,4
S,20000,2000,19297,346,T,8,8,77,2
S,20000,2000,511,1018,T,602,602,153,4
S,20000,2000,8585,129,T,660,660,149,6
S,20000,2000,3587,289,T,481,481,64,3
S,20000,2000,4779,1679,T,43,43,143,5
S,20000,2000,5647,1742,T,1622,1622,146,6
S,20000,2000,13426,84,T,246,246,203,5
S,20000,2000,14473,549,T,461,461,90,4
S,20000,2000,17831,687,T,1540,1540,93,3
S,20000,2000,7035,1596,T,18,18,69,3
S,20000,2000,10607,908,T,23,23,86,4
S,20000,2000,12139,1753,T,78,78,129,5
S,20000,2000,17821,1869,T,327,327,168,7
S,20000,2000,15255,1389,T,696,696,138,6
S,20000,2000,7641,641,T,908,908,105,4
S,20000,2000,1422,210,T,1906,1906,187,7
S,20000,2000,14737,761,T,1606,1606,139,6
S,20000,2000,2620,629,T,3937,3937,263,7
S,20000,2000,13567,1610,T,134,134,158,5
S,20000,2000,13556,1852,T,2903,2903,296,12
S,20000,2000,10616,349,T,17,17,102,3
S,20000,2000,14781,1010,T,2040,2040,199,7
S,20000,2000,2730,141,T,1062,1062,167,6
S,20000,2000,5448,1435,T,1003,1003,145,6
S,20000,2000,7973,1881,T,260,260,217,8
S,20000,2000,13851,676,T,1403,1403,282,9
S,20000,2000,8480,307,T,2399,2399,144,6
S,20000,2000,11575,505,T,1330,1330,194,5
S,20000,2000,8925,504,T,333,333,250,8
S,20000,2000,13570,1094,T,58,58,226,7
S,20000,2000,11078,1338,T,1288,1288,111,6
S,20000,2000,15601,261,T,770,770,177,6
S,20000,2000,15077,1552,T,1047,1047,128,5
S,20000,2000,4017,1717,T,2115,2115,95,5
S,20000,2000,14007,1716,T,213,213,215,6
S,20000,2000,4530,499,T,61,61,127,5
S,20000,2000,15427,1939,T,1650,1650,147,5
S,20000,2000,6524,1412,T,337,337,171,5
S,20000,2000,1355,1219,T,2501,2501,189,7
S,20000,2000,15621,820,T,105,105,188,6
S,20000,2000,3142,902,T,1342,1342,130,4
