type,nodes,features,id,searchedFeature,isSuccess,firstBandwidth,totalBandwidth,latency,pathLength
S,50000,25000,2595,17671,F,7008,7008,0,0
S,50000,25000,17160,12430,F,10799,10799,0,0
S,50000,25000,45223,10239,F,11774,11774,0,0
S,50000,25000,41474,16542,F,11305,11305,0,0
S,50000,25000,49322,3595,F,11305,11305,0,0
S,50000,25000,30114,8888,F,11287,11287,0,0
S,50000,25000,37277,2410,T,4391,4391,230,9
S,50000,25000,18403,4330,F,11817,11817,0,0
S,50000,25000,31173,18121,T,885,885,110,5
S,50000,25000,34134,12213,T,875,875,169,5
S,50000,25000,25201,11996,T,304,304,158,5
S,50000,25000,46722,12665,F,11261,11261,0,0
S,50000,25000,15283,8792,T,9921,9921,215,8
S,50000,25000,47943,21945,T,7387,7387,299,10
S,50000,25000,39676,1426,T,3383,3383,278,9
S,50000,25000,11871,5066,T,9126,9126,277,8
S,50000,25000,38005,2066,F,10701,10701,0,0
S,50000,25000,32464,7656,T,43,43,115,3
S,50000,25000,26745,11496,T,3998,3998,185,7
S,50000,25000,45416,5009,T,4418,4418,336,12
S,50000,25000,34471,17707,T,5542,5542,289,9
S,50000,25000,24321,11628,T,5194,5194,230,9
S,50000,25000,40203,15335,T,6230,6230,188,8
S,50000,25000,20082,8787,T,223,223,166,7
S,50000,25000,30258,20137,T,7106,7106,301,11
S,50000,25000,16952,19159,F,11708,11708,0,0
S,50000,25000,30548,20139,F,10243,10243,0,0
S,50000,25000,19855,15982,T,6213,6213,157,5
S,50000,25000,8600,13850,T,2183,2183,208,7
S,50000,25000,21713,3631,T,2687,2687,172,6
S,50000,25000,3459,17205,F,11224,11224,0,0
S,50000,25000,894,8808,T,334,334,162,5
S,50000,25000,31703,5022,T,4622,4622,192,6
S,50000,25000,12685,23617,F,11530,11530,0,0
S,50000,25000,34979,18481,T,4612,4612,259,7
S,50000,25000,15357,19764,T,2405,2405,161,5
S,50000,25000,40689,21612,T,3093,3093,228,8
S,50000,25000,22679,6832,F,11200,11200,0,0
S,50000,25000,5359,7770,T,3092,3092,133,7
S,50000,25000,47680,21790,T,8528,8528,163,6
S,50000,25000,5728,20273,T,3201,3201,176,5
S,50000,25000,29027,17071,F,10396,10396,0,0
S,50000,25000,10504,4905,F,12258,12258,0,0
S,50000,25000,22379,15195,T,3863,3863,264,9
S,50000,25000,30942,1288,T,3136,3136,200,7
S,50000,25000,2059,10813,T,7450,7450,174,6
S,50000,25000,32210,20981,F,2610,2610,0,0
S,50000,25000,4072,13673,T,8112,8112,156,7
S,50000,25000,46928,20271,T,8184,8184,200,7
S,50000,25000,36922,12495,T,8855,8855,204,8
S,50000,25000,22961,24964,F,12289,12289,0,0
S,50000,25000,48680,2356,T,3554,3554,291,8
S,50000,25000,28802,4392,F,10932,10932,0,0
S,50000,25000,24710,10826,F,11046,11046,0,0
S,50000,25000,4923,11719,F,11356,11356,0,0
S,50000,25000,27687,1471,F,12034,12034,0,0
S,50000,25000,7350,22651,F,11316,11316,0,0
S,50000,25000,2125,12456,F,12022,12022,0,0
S,50000,25000,23883,21927,T,5949,5949,207,7
S,50000,25000,28983,16373,T,2744,2744,145,6
S,50000,25000,18512,9902,T,657,657,87,3
S,50000,25000,26280,7240,F,11527,11527,0,0
S,50000,25000,37361,3379,T,3858,3858,244,8
S,50000,25000,17886,1619,F,10763,10763,0,0
S,50000,25000,19446,3095,F,10923,10923,0,0
S,50000,25000,21754,8336,T,949,949,97,3
S,50000,25000,9321,18053,T,1671,1671,186,6
S,50000,25000,30275,6380,F,9889,9889,0,0
S,50000,25000,13301,20410,F,11776,11776,0,0
S,50000,25000,32231,13977,F,10586,10586,0,0
S,50000,25000,31596,4585,T,3218,3218,192,6
S,50000,25000,10270,15689,T,432,432,184,6
S,50000,25000,18725,21416,T,4007,4007,226,8
S,50000,25000,37169,17572,T,90,90,172,6
S,50000,25000,29189,17462,F,11590,11590,0,0
S,50000,25000,70,11418,F,10430,10430,0,0
S,50000,25000,13300,14625,T,5384,5384,239,8
S,50000,25000,33605,4145,F,10368,10368,0,0
S,50000,25000,13598,15053,T,1020,1020,96,5
S,50000,25000,31014,2924,T,529,529,117,4
S,50000,25000,38177,21748,T,8440,8440,178,6
S,50000,25000,36470,10180,F,10618,10618,0,0
S,50000,25000,37013,21696,T,3407,3407,207,7
S,50000,25000,27087,151,T,5423,5423,261,10
S,50000,25000,38591,24574,F,11586,11586,0,0
S,50000,25000,9310,9004,T,683,683,197,7
S,50000,25000,41238,22688,T,924,924,163,6
S,50000,25000,694,2395,F,11730,11730,0,0
S,50000,25000,26135,2255,F,10640,10640,0,0
S,50000,25000,37521,8861,T,226,226,178,6
S,50000,25000,38951,24133,T,5,5,81,2
S,50000,25000,47447,14897,F,9960,9960,0,0
S,50000,25000,6520,2221,F,9905,9905,0,0
S,50000,25000,19872,1038,F,11001,11001,0,0
S,50000,25000,15761,11664,T,6542,6542,211,6
S,50000,25000,44293,6848,F,10537,10537,0,0
S,50000,25000,30581,4318,T,1968,1968,189,7
S,50000,25000,36610,16235,T,8931,8931,212,9
S,50000,25000,8601,10777,T,4678,4678,209,8
S,50000,25000,3080,7141,T,7040,7040,165,7
S,50000,25000,2761,22069,T,514,514,155,6
S,50000,25000,25778,22679,T,3285,3285,206,6
S,50000,25000,48112,20486,T,2792,2792,179,7
S,50000,25000,25026,8395,T,2179,2179,154,5
S,50000,25000,27409,15847,T,1521,1521,254,7
S,50000,25000,21498,5401,F,7823,7823,0,0
S,50000,25000,37956,12742,T,9500,9500,232,8
S,50000,25000,9572,19885,T,3351,3351,204,6
S,50000,25000,37681,9052,T,1098,1098,175,6
S,50000,25000,38611,7697,T,8870,8870,244,9
S,50000,25000,42485,6740,F,11917,11917,0,0
S,50000,25000,280,13011,T,4750,4750,96,3
S,50000,25000,30749,9204,F,10551,10551,0,0
S,50000,25000,13748,2182,T,1501,1501,92,4
