type,nodes,features,id,searchedFeature,isSuccess,firstBandwidth,totalBandwidth,latency,pathLength
S,20000,8000,16025,4803,T,2685,4358,164,5
S,20000,8000,16168,1895,T,2824,4116,331,9
S,20000,8000,8731,6834,T,233,12229,297,8
S,20000,8000,14787,803,T,2705,9301,308,9
S,20000,8000,14721,5501,T,1925,7557,248,8
S,20000,8000,6507,5935,T,2353,11940,302,8
S,20000,8000,10378,327,T,4071,12229,286,8
S,20000,8000,11225,2808,T,1123,8554,219,6
S,20000,8000,4656,5348,T,2000,10157,277,8
S,20000,8000,16169,6112,T,338,5075,215,7
S,20000,8000,10546,3244,T,7321,12228,299,10
S,20000,8000,16234,3048,T,1407,10222,318,10
S,20000,8000,167,4510,T,754,11142,161,5
S,20000,8000,6368,4203,T,377,3513,118,5
S,20000,8000,4744,384,T,3652,6516,251,8
S,20000,8000,9737,936,T,79,5665,119,4
S,20000,8000,2770,5280,T,2800,6685,254,7
S,20000,8000,12208,3243,T,3889,8291,225,7
S,20000,8000,2553,7886,T,1786,8452,155,6
S,20000,8000,6951,4508,T,5303,5913,277,8
S,20000,8000,14852,5005,T,2122,2836,319,8
S,20000,8000,2976,7301,T,1054,5866,241,6
S,20000,8000,1773,1714,T,3349,6404,173,7
S,20000,8000,235,500,T,3314,5591,277,8
S,20000,8000,8269,490,T,31,2585,181,5
S,20000,8000,3906,6283,T,761,12228,246,8
S,20000,8000,4445,1491,T,145,6057,189,5
S,20000,8000,6780,3225,T,33,5832,198,6
S,20000,8000,7468,6762,T,847,8890,110,4
S,20000,8000,17512,1577,T,4036,12229,342,10
S,20000,8000,2150,3689,T,1451,9686,208,7
S,20000,8000,6255,228,T,333,5252,158,5
S,20000,8000,13311,6498,T,393,3813,295,7
S,20000,8000,643,1320,T,915,5978,194,6
S,20000,8000,10053,5361,T,1019,9493,164,5
S,20000,8000,12682,427,T,6075,8490,214,9
S,20000,8000,5206,266,T,2504,10297,102,4
S,20000,8000,8809,4135,T,516,12229,134,3
S,20000,8000,4662,4598,T,596,7156,249,9
S,20000,8000,7881,6711,T,4473,8432,216,7
S,20000,8000,4530,1095,T,7436,12228,271,9
S,20000,8000,222,2250,T,5767,9897,190,7
S,20000,8000,16797,5812,T,4233,5434,131,5
S,20000,8000,6070,3849,T,4701,5291,146,5
S,20000,8000,6099,1334,T,7044,7416,255,8
S,20000,8000,1894,5112,T,1712,2837,198,6
S,20000,8000,19299,5702,T,5947,8838,359,10
S,20000,8000,16338,2423,T,2674,12168,123,5
S,20000,8000,3002,708,T,6010,12228,173,6
S,20000,8000,5754,2023,T,6508,8249,261,8
S,20000,8000,17665,2129,T,590,3180,206,7
S,20000,8000,12556,639,T,598,9942,201,7
S,20000,8000,17812,2748,T,2992,12229,131,5
S,20000,8000,3822,1837,T,2041,2341,314,9
S,20000,8000,8391,5797,T,2057,4273,191,6
S,20000,8000,5253,868,T,1038,6764,231,8
S,20000,8000,11171,5608,F,12229,12229,0,0
S,20000,8000,18504,3379,F,12229,12229,0,0
S,20000,8000,19394,411,T,2437,7846,172,6
S,20000,8000,15483,1317,T,3440,10674,97,5
S,20000,8000,2654,667,T,1430,8801,241,8
S,20000,8000,7300,6472,T,110,11410,140,6
S,20000,8000,9860,5471,T,3789,7374,210,8
S,20000,8000,19882,5202,T,5275,11774,206,7
S,20000,8000,13299,3701,T,2497,6727,170,8
S,20000,8000,17264,2581,T,3146,11855,371,11
S,20000,8000,3628,1733,T,383,2367,175,4
S,20000,8000,16044,2160,T,1002,4726,235,6
S,20000,8000,10326,6233,T,24,1767,125,3
S,20000,8000,15937,1590,T,592,4406,121,5
S,20000,8000,13724,4421,T,5898,10079,206,8
S,20000,8000,7422,1944,T,2164,4760,146,5
S,20000,8000,17413,6968,T,619,4121,224,6
S,20000,8000,13242,3652,T,1104,5574,134,5
S,20000,8000,2597,6834,T,84,12229,182,4
S,20000,8000,6364,2887,T,932,2515,190,7
S,20000,8000,82,4584,T,5423,12081,160,6
