type,nodes,features,id,searchedFeature,isSuccess,firstBandwidth,totalBandwidth,latency,pathLength
S,50000,15000,35948,8042,T,4402,4402,289,8
S,50000,15000,24136,9579,T,3276,3276,106,3
S,50000,15000,42034,6442,T,1935,1935,216,7
S,50000,15000,49953,14737,T,596,596,145,5
S,50000,15000,22888,121,T,6186,6186,292,11
S,50000,15000,1608,5114,F,12289,12289,0,0
S,50000,15000,35423,13630,T,235,235,225,6
S,50000,15000,8677,14147,T,2821,2821,116,4
S,50000,15000,23635,2340,F,9113,9113,0,0
S,50000,15000,14576,7492,F,7823,7823,0,0
S,50000,15000,13047,219,T,1905,1905,130,5
S,50000,15000,5867,4993,F,8366,8366,0,0
S,50000,15000,28502,10233,T,3382,3382,133,5
S,50000,15000,45369,12283,T,2188,2188,153,7
S,50000,15000,37758,1859,T,817,817,152,5
S,50000,15000,41667,2539,F,10735,10735,0,0
S,50000,15000,13860,14101,F,11210,11210,0,0
S,50000,15000,14887,5184,F,12024,12024,0,0
S,50000,15000,16381,14246,F,5022,5022,0,0
S,50000,15000,38859,14776,F,5544,5544,0,0
S,50000,15000,31022,10977,F,6145,6145,0,0
S,50000,15000,216,6396,T,8388,8388,276,8
S,50000,15000,17712,11613,T,641,641,159,4
S,50000,15000,34240,2761,F,9340,9340,0,0
S,50000,15000,27149,12332,T,7631,7631,287,8
S,50000,15000,41690,9484,T,3494,3494,245,8
S,50000,15000,49724,777,T,3544,3544,159,5
S,50000,15000,16695,857,T,8254,8254,182,6
S,50000,15000,19018,149,F,10218,10218,0,0
S,50000,15000,14567,6476,F,7360,7360,0,0
S,50000,15000,26766,4311,T,3988,3988,175,7
S,50000,15000,39999,6735,F,7903,7903,0,0
S,50000,15000,6956,1716,T,8994,8994,207,6
S,50000,15000,22882,8246,F,10753,10753,0,0
S,50000,15000,41787,698,F,12269,12269,0,0
S,50000,15000,37910,12501,T,350,350,176,5
S,50000,15000,2777,765,F,11390,11390,0,0
S,50000,15000,23448,10975,T,638,638,213,7
S,50000,15000,20518,1367,T,8150,8150,376,11
S,50000,15000,48983,5546,T,91,91,83,3
S,50000,15000,40247,7080,T,1014,1014,84,3
S,50000,15000,17556,4977,T,7182,7182,127,5
S,50000,15000,19587,3637,T,3213,3213,190,7
S,50000,15000,20203,6032,F,5173,5173,0,0
S,50000,15000,7729,8160,T,4679,4679,352,11
S,50000,15000,16260,5682,T,3656,3656,229,7
S,50000,15000,35903,180,T,2625,2625,244,7
S,50000,15000,5276,245,F,8254,8254,0,0
S,50000,15000,10619,12253,T,1131,1131,242,7
S,50000,15000,30154,4921,T,496,496,145,5
S,50000,15000,24306,7180,T,770,770,188,6
S,50000,15000,14864,10692,T,255,255,152,4
S,50000,15000,3637,438,T,5186,5186,275,8
S,50000,15000,4184,6417,T,5233,5233,139,5
S,50000,15000,29160,5547,T,2987,2987,186,4
S,50000,15000,32388,2847,T,2748,2748,268,7
S,50000,15000,24860,3948,T,105,105,243,6
S,50000,15000,19518,7253,T,9102,9102,256,7
S,50000,15000,33363,6630,T,3774,3774,252,10
S,50000,15000,5521,9454,T,978,978,224,6
S,50000,15000,16279,7371,T,2187,2187,165,4
S,50000,15000,23673,9108,T,8509,8509,257,9
S,50000,15000,2469,5489,T,759,759,207,7
S,50000,15000,34771,10381,F,12328,12328,0,0
S,50000,15000,14964,1248,T,9197,9197,346,12
S,50000,15000,1022,14766,T,5705,5705,177,6
S,50000,15000,21214,6894,T,4645,4645,211,7
S,50000,15000,31290,8998,T,4348,4348,226,7
S,50000,15000,45525,8289,T,166,166,97,4
S,50000,15000,33511,11327,T,9052,9052,275,8
S,50000,15000,48548,13107,T,4767,4767,202,7
S,50000,15000,29295,9442,T,3164,3164,276,8
S,50000,15000,580,19,T,4881,4881,112,5
S,50000,15000,14982,3412,T,6775,6775,226,7
S,50000,15000,7102,6165,T,5166,5166,171,5
S,50000,15000,30453,171,T,743,743,158,5
S,50000,15000,4956,5127,T,6304,6304,258,9
S,50000,15000,5178,1641,T,2091,2091,173,7
S,50000,15000,24384,13133,T,3805,3805,246,8
S,50000,15000,34489,8746,T,278,278,217,8
S,50000,15000,3545,2885,F,9633,9633,0,0
S,50000,15000,43586,8648,T,304,304,128,5
S,50000,15000,11106,2119,T,2251,2251,142,5
S,50000,15000,14008,2862,T,2886,2886,214,8
S,50000,15000,7165,8943,T,1407,1407,261,7
S,50000,15000,45530,1640,T,6807,6807,221,8
S,50000,15000,36749,4747,T,5704,5704,308,10
S,50000,15000,35717,10439,F,13429,13429,0,0
S,50000,15000,29354,10196,T,5254,5254,402,12
S,50000,15000,47560,8970,T,5400,5400,251,8
S,50000,15000,12295,10796,T,76,76,143,5
