type,nodes,features,id,searchedFeature,isSuccess,firstBandwidth,totalBandwidth,latency,pathLength
S,50000,5000,8565,3090,T,1965,1965,181,6
S,50000,5000,3145,426,T,659,659,106,4
S,50000,5000,29115,378,T,1911,1911,146,3
S,50000,5000,28567,947,T,1994,1994,278,11
S,50000,5000,43526,1831,T,129,129,98,4
S,50000,5000,31403,2704,T,1428,1428,197,6
S,50000,5000,48471,3429,T,1192,1192,124,5
S,50000,5000,45073,4732,T,2107,2107,177,5
S,50000,5000,2391,3961,T,2087,2087,105,6
S,50000,5000,4087,1562,T,5042,5042,149,5
S,50000,5000,11120,3666,T,4216,4216,205,7
S,50000,5000,14189,2253,T,482,482,82,3
S,50000,5000,1206,553,T,4539,4539,245,7
S,50000,5000,14299,560,T,2226,2226,201,7
S,50000,5000,1249,843,T,165,165,86,3
S,50000,5000,12212,1605,T,279,279,147,6
S,50000,5000,15514,3030,T,701,701,114,4
S,50000,5000,10613,4063,T,6436,6436,258,9
S,50000,5000,9517,89,T,3470,3470,186,5
S,50000,5000,45183,1491,T,643,643,288,8
S,50000,5000,24715,25,T,1255,1255,158,5
S,50000,5000,14739,2769,T,1133,1133,282,8
S,50000,5000,31292,149,T,762,762,118,5
S,50000,5000,38196,1503,T,2510,2510,250,8
S,50000,5000,44335,4387,T,2101,2101,292,9
S,50000,5000,2563,149,T,599,599,90,4
S,50000,5000,26573,686,T,1225,1225,191,8
S,50000,5000,5852,1275,T,40,40,97,3
S,50000,5000,35181,480,T,568,568,137,5
S,50000,5000,22370,1303,T,7076,7076,151,7
S,50000,5000,25610,3403,T,1140,1140,98,4
S,50000,5000,26395,4042,T,1450,1450,136,6
S,50000,5000,29075,4440,T,1001,1001,204,6
S,50000,5000,27437,2419,T,4203,4203,237,8
S,50000,5000,4857,1492,T,6165,6165,134,5
S,50000,5000,18144,1425,T,457,457,181,5
S,50000,5000,2773,3821,T,5509,5509,155,6
S,50000,5000,36636,2533,T,3081,3081,210,6
S,50000,5000,26251,1150,T,129,129,131,4
S,50000,5000,15063,3039,T,1573,1573,133,7
S,50000,5000,47329,1003,T,3101,3101,223,9
S,50000,5000,31584,203,T,95,95,83,3
S,50000,5000,32626,3895,T,1428,1428,182,8
S,50000,5000,33350,4032,T,3178,3178,294,10
S,50000,5000,5687,2876,T,3025,3025,163,6
S,50000,5000,19581,1998,T,1430,1430,245,9
S,50000,5000,10614,1625,T,265,265,142,6
S,50000,5000,17418,1356,T,120,120,135,5
S,50000,5000,28558,235,T,666,666,140,5
S,50000,5000,17814,2375,T,39,39,123,4
S,50000,5000,26818,3420,T,54,54,165,5
S,50000,5000,19075,1789,T,3603,3603,244,7
S,50000,5000,42053,1964,T,657,657,223,9
S,50000,5000,45276,1073,T,1639,1639,261,9
S,50000,5000,43715,3568,T,790,790,274,7
S,50000,5000,40676,4580,T,117,117,91,3
S,50000,5000,1687,3446,T,1183,1183,85,3
S,50000,5000,1457,1389,T,6017,6017,167,6
S,50000,5000,49876,4487,T,7856,7856,208,9
S,50000,5000,15736,3254,T,6451,6451,175,7
S,50000,5000,21269,3878,T,3143,3143,238,6
S,50000,5000,4090,518,T,2589,2589,178,6
S,50000,5000,24478,3725,T,1177,1177,72,3
S,50000,5000,28751,4471,T,6403,6403,189,7
S,50000,5000,13407,1379,T,1138,1138,257,7
S,50000,5000,49914,1953,T,2905,2905,326,10
S,50000,5000,45749,4107,T,2609,2609,383,10
S,50000,5000,48008,1362,T,1415,1415,327,11
S,50000,5000,6830,3115,T,290,290,69,3
S,50000,5000,29072,2399,T,2336,2336,211,7
S,50000,5000,958,656,T,858,858,190,6
S,50000,5000,21647,4449,T,2384,2384,167,5
S,50000,5000,48192,2621,T,248,248,266,8
S,50000,5000,35410,2999,T,539,539,149,5
S,50000,5000,46299,2919,T,856,856,197,7
S,50000,5000,49298,1380,T,3803,3803,233,8
S,50000,5000,8914,3599,T,1557,1557,58,3
S,50000,5000,1705,2463,T,2414,2414,184,4
S,50000,5000,19763,653,T,4850,4850,272,10
S,50000,5000,14516,4720,T,874,874,184,7
S,50000,5000,25576,1283,T,9378,9378,260,8
S,50000,5000,4510,4515,T,910,910,192,7
S,50000,5000,8547,35,T,768,768,78,3
S,50000,5000,30626,4835,T,300,300,82,3
S,50000,5000,3040,3292,T,1398,1398,115,4
S,50000,5000,19405,1451,T,3584,3584,238,9
S,50000,5000,16703,4943,T,1131,1131,159,5
S,50000,5000,21636,4304,T,1821,1821,235,9
