type,nodes,features,id,searchedFeature,isSuccess,firstBandwidth,totalBandwidth,latency,pathLength
S,20000,6000,2141,1794,T,887,887,197,7
S,20000,6000,14082,3628,T,2105,2105,301,10
S,20000,6000,3826,2510,T,11,11,120,3
S,20000,6000,14653,2225,T,442,442,183,7
S,20000,6000,3819,5451,F,11518,11518,0,0
S,20000,6000,12260,335,T,2883,2883,203,6
S,20000,6000,7241,5965,T,8455,8455,280,8
S,20000,6000,19939,3988,T,3190,3190,247,8
S,20000,6000,12303,4790,T,1795,1795,160,5
S,20000,6000,12636,5830,T,439,439,194,6
S,20000,6000,7376,5301,T,17,17,45,2
S,20000,6000,5953,2760,T,1404,1404,168,6
S,20000,6000,10646,3662,T,3898,3898,169,5
S,20000,6000,4462,1082,T,62,62,120,3
S,20000,6000,17196,747,T,201,201,94,3
S,20000,6000,15328,5133,T,347,347,98,3
S,20000,6000,10827,2919,T,342,342,130,5
S,20000,6000,14594,410,T,7244,7244,323,9
S,20000,6000,2282,5702,T,1624,1624,120,5
S,20000,6000,14506,4761,T,1902,1902,129,5
S,20000,6000,10279,2412,T,1478,1478,317,10
S,20000,6000,6027,2059,T,2145,2145,169,6
S,20000,6000,14113,10,T,899,899,184,6
S,20000,6000,1159,3866,T,2015,2015,164,5
S,20000,6000,16311,3230,T,1655,1655,261,9
S,20000,6000,3095,3034,T,2807,2807,108,4
S,20000,6000,5459,3830,T,5283,5283,207,7
S,20000,6000,10036,5434,T,5572,5572,231,8
S,20000,6000,14385,555,T,9627,9627,232,8
S,20000,6000,6788,2259,T,12313,12313,376,10
S,20000,6000,5778,670,T,370,370,79,3
S,20000,6000,4011,2188,T,1028,1028,217,8
S,20000,6000,18170,5458,T,672,672,216,7
S,20000,6000,8753,2878,T,4755,4755,231,6
S,20000,6000,2481,2258,T,1776,1776,127,6
S,20000,6000,4260,2810,T,1376,1376,258,7
S,20000,6000,3527,5311,T,2778,2778,125,6
S,20000,6000,3588,1229,T,3163,3163,347,9
S,20000,6000,17387,598,T,3114,3114,288,7
S,20000,6000,7498,4387,T,254,254,170,7
S,20000,6000,2410,5130,T,6,6,33,1
S,20000,6000,2476,4636,T,1898,1898,115,5
S,20000,6000,3212,3603,T,796,796,101,5
S,20000,6000,8517,160,T,947,947,320,10
S,20000,6000,4303,412,T,1011,1011,230,7
S,20000,6000,5776,1180,T,2383,2383,230,6
S,20000,6000,16964,4569,T,1002,1002,280,7
S,20000,6000,9912,1851,T,3542,3542,172,6
S,20000,6000,15681,1684,T,334,334,131,5
S,20000,6000,8603,3170,T,981,981,131,4
