type,nodes,features,id,searchedFeature,isSuccess,firstBandwidth,totalBandwidth,latency,pathLength
S,50000,20000,28694,5453,T,64,2729,216,7
S,50000,20000,36377,13700,T,599,3944,223,7
S,50000,20000,15401,18195,T,1919,4940,277,8
S,50000,20000,2986,17345,F,4193,4193,0,0
S,50000,20000,5162,4531,T,4840,8056,230,7
S,50000,20000,778,19926,T,906,4768,244,7
S,50000,20000,33589,93,F,6145,6145,0,0
S,50000,20000,46595,15122,F,8797,8797,0,0
S,50000,20000,24689,17149,F,9689,9689,0,0
S,50000,20000,14428,19397,T,423,9463,116,4
S,50000,20000,10396,11471,T,6585,7272,353,11
S,50000,20000,40202,11327,T,1287,8016,198,6
S,50000,20000,13830,14864,T,324,6104,107,5
S,50000,20000,30500,13143,T,328,6601,203,6
S,50000,20000,40995,16199,T,6937,13025,247,9
S,50000,20000,36626,3839,T,9106,12513,450,15
S,50000,20000,24460,19300,T,827,13763,175,4
S,50000,20000,21330,159,T,844,8499,133,5
S,50000,20000,22573,19415,T,9487,12991,352,12
S,50000,20000,17908,19822,T,2645,7887,320,9
S,50000,20000,19185,8403,T,3190,8593,178,6
S,50000,20000,42522,4628,F,7790,7790,0,0
S,50000,20000,44111,11375,T,8284,9406,315,9
S,50000,20000,40447,9402,T,505,8954,223,7
S,50000,20000,39582,8254,F,8615,8615,0,0
S,50000,20000,7508,17166,T,240,10235,130,4
S,50000,20000,44701,16427,T,8138,12289,359,10
S,50000,20000,2070,13901,T,9679,13875,262,8
S,50000,20000,8007,16018,T,9232,12837,332,10
S,50000,20000,25017,16700,T,4633,9644,271,11
S,50000,20000,43348,1127,F,12289,12289,0,0
S,50000,20000,27423,19395,F,14500,14500,0,0
S,50000,20000,44811,13241,T,3522,10748,306,8
S,50000,20000,48017,3056,T,5263,11561,236,7
S,50000,20000,17675,2419,T,4158,10905,262,10
S,50000,20000,6601,445,T,6920,12204,139,6
S,50000,20000,20752,19640,T,8753,12289,357,10
S,50000,20000,12868,9509,T,1454,10732,250,8
S,50000,20000,26624,1150,T,2458,4212,220,9
S,50000,20000,42262,19972,T,1046,13036,287,9
S,50000,20000,8627,4587,T,972,12289,291,8
S,50000,20000,38914,11937,F,12272,12272,0,0
S,50000,20000,17777,16297,T,4447,13788,139,6
S,50000,20000,45437,19956,T,2291,13915,182,5
S,50000,20000,24576,10215,T,2835,4109,314,9
S,50000,20000,35630,10308,T,8151,11730,291,9
S,50000,20000,44932,13697,T,3182,11608,158,5
S,50000,20000,3092,5870,T,6931,11465,322,9
S,50000,20000,25517,3604,F,13378,13378,0,0
S,50000,20000,2462,3305,T,4217,6137,218,8
S,50000,20000,38305,5759,F,13857,13857,0,0
S,50000,20000,45518,791,T,1791,12556,211,8
S,50000,20000,27039,13511,T,8071,13002,282,9
S,50000,20000,35223,15445,T,5038,8428,280,9
S,50000,20000,20201,15171,T,740,10849,166,5
S,50000,20000,13966,17812,T,829,5621,179,7
S,50000,20000,49137,12352,T,8004,12289,192,7
S,50000,20000,1976,18002,T,6141,11481,248,6
S,50000,20000,46988,10872,F,11647,11647,0,0
S,50000,20000,30214,17868,T,8716,11921,371,11
S,50000,20000,36657,6416,F,13476,13476,0,0
S,50000,20000,48367,9339,T,823,6831,195,6
S,50000,20000,18620,17422,F,12365,12365,0,0
S,50000,20000,17967,7232,F,14317,14317,0,0
S,50000,20000,36904,18710,T,5491,12289,266,8
S,50000,20000,34644,11080,T,8529,13011,284,10
S,50000,20000,7545,16094,T,7659,12327,185,7
S,50000,20000,1907,12120,T,1835,12796,87,3
S,50000,20000,21149,16658,T,5051,5320,234,9
S,50000,20000,46675,8959,F,10845,10845,0,0
S,50000,20000,18823,10113,T,1647,12826,390,14
S,50000,20000,22722,8650,T,12254,12315,235,9
S,50000,20000,11780,414,T,2299,12289,201,6
S,50000,20000,38123,11071,T,5685,12289,265,8
S,50000,20000,39104,13878,T,3019,12493,221,8
S,50000,20000,40328,13700,T,1495,13963,351,14
S,50000,20000,14847,10542,F,12320,12320,0,0
S,50000,20000,10009,15173,T,2024,12355,205,7
S,50000,20000,3543,12326,T,131,6434,131,4
S,50000,20000,31309,6494,T,10422,11351,402,12
S,50000,20000,24396,11326,T,3434,12636,231,10
S,50000,20000,10990,838,T,575,12921,149,5
S,50000,20000,18550,10412,T,6596,12761,317,9
S,50000,20000,41760,17129,T,62,9909,138,5
S,50000,20000,23694,1744,T,3610,13552,207,8
S,50000,20000,25410,10039,T,4898,7995,129,6
S,50000,20000,5085,14056,T,6966,12289,309,9
S,50000,20000,995,4536,T,5999,13116,394,11
S,50000,20000,11453,6347,F,12289,12289,0,0
S,50000,20000,11272,14993,T,5254,14246,229,6
S,50000,20000,9912,13861,T,11122,12565,306,12
S,50000,20000,1408,16098,T,5069,12289,239,8
S,50000,20000,29529,9842,T,1163,8982,129,6
S,50000,20000,32422,17711,T,3284,12710,466,16
S,50000,20000,48408,3517,T,2526,9165,302,10
S,50000,20000,17041,6141,T,3652,11248,219,7
S,50000,20000,39155,7515,T,675,7381,116,5
S,50000,20000,27907,8875,F,11663,11663,0,0
S,50000,20000,5439,17255,T,2600,14250,128,6
S,50000,20000,42920,16224,T,12080,13177,192,8
S,50000,20000,21423,115,F,13102,13102,0,0
S,50000,20000,13293,3033,T,9979,13684,322,8
S,50000,20000,5494,9906,T,2082,12618,172,6
S,50000,20000,43922,4913,T,8184,13016,221,9
S,50000,20000,45332,2009,F,12857,12857,0,0
S,50000,20000,42822,10468,T,1599,13822,232,8
